gene,site_specific_mutation_rate
ASXL1,2.4300000000000003e-08
BCOR,1.3500000000000002e-08
CBL,1.630361e-08
CSF3R,2.7e-09
DNMT3A,1.13787835e-07
ETV6,2.7e-09
EZH2,5.0536069e-08
FLT3,1.29727249e-07
GATA2,6.238082000000001e-09
IDH1,4.526963e-08
IDH2,1.853029e-08
JAK2,1.33223e-09
KIT,4.53317e-10
KRAS,4.9253573e-08
MPL,1.41512e-08
MYC,1.5770254e-08
NPM1,1.3500000000000002e-08
NRAS,2.0343801e-08
PHF6,1.4704399999999999e-08
PPM1D,8.1e-09
PTPN11,1.8543133e-08
RUNX1,1.2800741e-07
SETBP1,1.20044e-08
SF3B1,2.241882e-09
SMC3,4.83263e-10
SRSF2,4.372184e-09
STAG2,8.1e-09
TET2,6.021958100000001e-08
TP53,5.1095175e-08
U2AF1,2.69811e-09
WT1,9.68503e-08
